"Merchant_Product_Number","EAN_Code","Product_Name","Manufacturer","brand","Beer style","Price","Price_old","Currency","DeepLink_URL","Image_Small_URL","Image_Large_URL","Merchant_Product_Category","Product_Description_Long","Shipping","availability"
"And-Union-Friday_Beer_15853","4260610290383","And Union Friday","And Union","And union","Lager Bier","2.49","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/and-union-friday-can-.33","https://www.beerwulf.com/globalassets/and-union-friday_beer_15853_03.png?w=100&h=100","https://www.beerwulf.com/globalassets/and-union-friday_beer_15853_03.png?w=400&h=400","414","Lekkere dikke fruitige IPA. Koperkleurig, licht troebel met vooral veel tropische fruit aroma’s. Zoete karamelachtige tonen uit de mout geven balans en halen de scherpe randjes van de bitterheid.","26,85","true"
"And-Union-Sunday_Beer_15855","4260610290376","And Union Sunday","And Union","And union","Pale Ale","2.49","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/and-union-sunday-can-.33","https://www.beerwulf.com/globalassets/and-union-sunday_beer_15855_03.png?w=100&h=100","https://www.beerwulf.com/globalassets/and-union-sunday_beer_15855_03.png?w=400&h=400","414","Een smaakvol en soepel bier, easy like a sunday morning. Aroma zit vol fruitige tonen. Licht hoppige en moutige tonen geven dit bier balans.","26,85","true"
"Hapkin---Blade-Keg_Beer_20561","3119780269266","Hapkin - Blade Vat","null","Hapkin","Blond Bier","40.99","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/hapkin-blade-8l-tapvat","https://www.beerwulf.com/globalassets/hapkin---blade-keg_beer_20561_0.png?w=100&h=100","https://www.beerwulf.com/globalassets/hapkin---blade-keg_beer_20561_0.png?w=400&h=400","414","Hapkin is een Belgisch, krachtig blond bier van hoge gisting, gekenmerkt door een volle, witte schuimkraag en een droge, pittige afdronk.
De verschillende hoppen, waaronder de variëteiten Saaz en Monroe, worden tijdens het brouwproces in 4 keer toegevoegd. Dit zorgt voor een fruitige toets, die de subtiele hopbitterheid mooi aanvult.","26,85","true"
"La-Rousse-du-Mont-Blanc---SUB-Keg_Beer_22249","7106618768189","La Rousse du Mont Blanc - SUB Vat","Brasserie Du Mont Blanc","Brasserie du mont blanc","Amber & Red Ale","17.99","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/la-rousse-du-mont-blanc-2l-tapvat","https://www.beerwulf.com/globalassets/la-rousse-du-mont-blanc---sub-keg_beer_22249_0.png?w=100&h=100","https://www.beerwulf.com/globalassets/la-rousse-du-mont-blanc---sub-keg_beer_22249_0.png?w=400&h=400","414","Deze zacht zoete amber heeft een moutige aroma. Het bier is licht zoet, en heeft een beetje hops. De nasmaak is zacht, zoetkaramel en niet intens, maar wel lang.De gluten zijn verwijderd tijdens het brouwproces - iedere batch is getest tot onder 20ppm.","26,85","true"
"St-Feuillien-Tripel---SUB-Keg_Beer_22281","7106618769216","St. Feuillien Tripel - SUB Vat","St. Feuillien","St. feuillien","Tripel Bier","16.99","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/st.-feuillien-tripel-2l-tapvat","https://www.beerwulf.com/globalassets/st-feuillien-tripel---sub-keg_beer_22281_03.png?w=100&h=100","https://www.beerwulf.com/globalassets/st-feuillien-tripel---sub-keg_beer_22281_03.png?w=400&h=400","414","Goudkleurige Tripel met fruitige aroma’s, een licht gistkarakter, zoet met een lichte bitterheid en een kruidige afdronk.","26,85","true"
"Brixton-Defiance---SUB-Keg_Beer_22252","7106618767298","Brixton Defiance - SUB Vat","Brixton Brewery","Brixton","Pale Ale","15.99","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/brixton-defiance-2l-tapvat","https://www.beerwulf.com/globalassets/brixton-defiance---sub-keg_beer_22252_0.png?w=100&h=100","https://www.beerwulf.com/globalassets/brixton-defiance---sub-keg_beer_22252_0.png?w=400&h=400","414","Glutenvrije Pale Ale: een verfrissende en heerlijke pale ale met een licht fruitige finish.","26,85","true"
"Birra-Moretti-LAutentica-voordeelverpakking_1","8006890029796","Birra Moretti L'Autentica voordeelverpakking","null","Beerwulf","Pack","31.99","40.56","EUR","https://www.beerwulf.com/nl-be/p/bierpakketten/birra-moretti-lautentica-voordeelverpakking","https://www.beerwulf.com/globalassets/catalog/beerwulf/beers/value-packs/birra_moretti_box.png?w=100&h=100","https://www.beerwulf.com/globalassets/catalog/beerwulf/beers/value-packs/birra_moretti_box.png?w=400&h=400","414","Nu je favoriete bier in een voordeelverpakking.
Dit licht gekleurde bier is zacht van smaak. Je proeft tonen uit de mout en de hop. Het plakt een heel klein beetje aan je tong en de afdronk is zacht en bitter.","0,00","true"
"Murphys-Irish-Stout-voordeelverpakking_1","0503576606026","Murphy's Irish Stout voordeelverpakking","null","Beerwulf","Pack","44.99","59.76","EUR","https://www.beerwulf.com/nl-be/p/bierpakketten/murphys-irish-stout-voordeelverpakking","https://www.beerwulf.com/globalassets/catalog/beerwulf/beers/value-packs/murphys_irish_stout_can_box.png?w=100&h=100","https://www.beerwulf.com/globalassets/catalog/beerwulf/beers/value-packs/murphys_irish_stout_can_box.png?w=400&h=400","414","","0,00","true"
"The-SUB-Black-Edition--4-Heineken_1","","The SUB Classic Heineken Startpakket","null","Beerwulf","Pack","129.00","195.00","EUR","https://www.beerwulf.com/nl-be/p/bierpakketten/thesubblackedition-4heineken","https://www.beerwulf.com/globalassets/the-sub-black-edition--4-heineken_1_0.png?w=100&h=100","https://www.beerwulf.com/globalassets/the-sub-black-edition--4-heineken_1_0.png?w=400&h=400","414","Dit pakket bevat :

The SUB Black Edition
4 Heineken 2L tapvaten
","0,00","true"
"Abbaye-and-Trappist-Beer-Case-V2_1","","Trappist en Abdij Bierpakket  ","null","Beerwulf","Pack","32.99","0.00","EUR","https://www.beerwulf.com/nl-be/p/bierpakketten/trappistenabdij","https://www.beerwulf.com/globalassets/abbaye-and-trappist-beer-case-v2_1_0.png?w=100&h=100","https://www.beerwulf.com/globalassets/abbaye-and-trappist-beer-case-v2_1_0.png?w=400&h=400","414","Proef klassieke bierstijlen in ons Trappist en Abdij Bierpakket, met 12 bieren die het keurmerk &lsquo;Authentic Trappist Product&rsquo; of &lsquo;Erkend Belgisch Abdijbier&rsquo; mogen dragen.","0,00","true"
